Username,Content
johnlegend01,"My relationship started with a long distance relationship. Luck smiled on us after 20 months, I got a job in her city. Things are fine, thanks to God. The challenges were there and it ended well. We are one of the lucky few sincerely."
choco_D_first,"Another thing that will make a LDR successful, is how long both of you were together.. before the distance set it...for example, if you've only known each other for like 2 or 3 months.. there is high possibility that it won't last. Compared to being together for 6 or 1 year.."
PreciousOnibata,"Everything was going on smoothly, everything was sweet and rosy until distance separated us ??????. Even with the constant communication, it still wasn't the same as it was when we were seeing everyday and hugging. ??????"
sharking991,LDR will drain u ...I have had my fair share of emotional abuse with that...not again
OluwaleimuO,"If u can avoid it please do, this is what messed up my friend's siblings... their mum was training 6 boys all by herself when her husband was working abroad. I don't ever want to stay away from my partner"
PerpetualDrift,I will say that it still could be an option. I was long distance 10ish years ago and she moved out for me. We started a life together and will be celebrating our 10 year next year. It can be done.
TEEPHTREND,"Long distance relationships work when you guys communicate FREQUENTLY.
He calls, you call. You make video calls, you roast each other over the phone, you laugh, you tell each other about your day, all over the phone.
It's beautiful."
TheAhithophel,"Any women that is unduly excitable about distant relationship is a chronic cheater
If you are ever marry her; paternity fraud i guaranteed"
Franca_Jonah_,"No please, I don't want LDR. I want to go on strolls, I want to see you atleast twice in a week, I want to have physical conversations, I want cuddles, I want kisses, I want to cook for you, I want to watch you sleep on me, want us to go out for meals. I what so so so much.????"
lil_jummix,"I've tried long distance, I've tried someone who lived walkable distance from mine, I recommend getting a cat. ????"
shelovesore,My unpopular opinion about relationships is that ldr is just two people wasting their time cos both of you know that what you're doing doesn't make any bit of sense.
kupukupubiasa,"9 years.. Dari couple sampai tunang & kawen. Selalu call & msg. Vid call slalu. Apa pun cabaran datang i will try to make it work. Tiket mahal? Takpe, kumpul in advance. Cuti weekend dah tak sama? Takpe, i cuti untuk match dengan u. Ending?  Kena cerai sebab dia kata dia tawar hati."
MomoAyumi_,"3 years in LDR. I made him as my everything. Everything falling apart when one of us didn't get enough attention & decide to cheat. It's hard to let go but I did. I learnt it in hard way. people changed, all you have to do is to accept & move on."
faizabdn,"7 years of relation, last 2 years LDR. Last last she got another male behind me 10 month before we ended it. 10 freaking months, siap jumpa parents lelaki tu la apa la. She cried sebab she stuck between 2. But sokay. I am stepping away. I accepted the sorry of her."
wfyfy_,"Communication is the key for ldr bruh dan semestinya perlu secubit kematangan, secubit kepercayaan dan secukup kesetiaan"
naim_ni,"Bagi aku, bila LDR ni sakit act, sebab tak tahu apa dia buat kat sana, so kita kena percaya antara satu sama lain, sentiasa communicate & masing2 ada perasaan jaga hati. Bila gaduh or ada masalah bincang leklok, bincang dengan hati yang ikhlas & jujur tros terang, tolak ansur."
tanyakanrl,?? GW SALUT BGT SAMA PASANGAN LDR YG TETEP SETIA DAN MENJAGA HUBUNGAN TETAP SEHAT. KARENA CINTA HRUSNYA GA KENAL JARAK DAN WAKTU. TETAP CINTA WALAU TBTB JARAK MENGHALANG IS ANOTHER LEVEL OF TRUE LOVEE SEMANGAT PEJUANG LDR! DON'T GIVE UP KALIAN KEREN
ris_ol,"dan gue bersyukur punya pasangan yg ga bikin gue was-was meskipun ldr. Semoga kalian bisa nemu pasangan yang bener2 bikin kalian percaya sama dia. Ldr tu cukup aja capeknya karena kangen, jangan nambah capek karena merasa dia bakal selingkuh"
xxxibgdrg0nn,"Gw sih sistem percaya, udh komunikasi aktif hampir 24/7 tp kalo semisal doi tetap selingkuh ya udh berarti bukan jodohnya. Pacaran LDR udh 6th+lebih mau dramatis ttg permasalahan hubungan itu udh gk ada energi nya lagi gk tertarik udh cape gr2 kerjaan, jd ya udh take or leave."
cendikiaaawan,"Yupp beneeer kaak! Aku alhamdulillah udh jalan 6tahun LDR so far aman2 saja. Kita selalu berkabar, ngga chattan tiap menit karna tau kesibukan masing2. Tau mana prioritas aja sih & jangan aneh2 kunci nya, selama 2 hal ini dijalanin insyaAllah kedepannya aman!"
lahgjtt,"ldr tuh susah banget segala masalah nya pada timbul jadi uji coba ke hubungan, tapi aku bangga dengan hubunganku sekarang walaupun ldr udah gak ketemu kita tetep saling ngejaga satu sama lain, komunikasi selalu di usahain tetep lancar, tetep komitmen."
watsaplagi,"Kalo ldr tpi sblmnya brg atau ldr karna kerjaan gw sih ok tpi kalo bru kenal aj dh ldr busettt susahh krn kek gw g bisa cari tau dia ke siapa"" klo pernah brg kan bisa tau dan bisa tanya2 ke org tedekat nya"
